timestamp,camera,line,in,out
2025-11-14T08:45:43+07:00,cam1,2,1,0
2025-11-14T08:46:37+07:00,cam1,1,1,0
2025-11-14T08:47:10+07:00,cam1,2,1,0
2025-11-14T08:47:15+07:00,cam1,3,1,0
2025-11-14T08:48:16+07:00,cam1,1,1,0
2025-11-14T08:49:15+07:00,cam1,3,1,0
2025-11-14T08:49:31+07:00,cam1,3,0,1
2025-11-14T08:50:58+07:00,cam1,3,1,0
2025-11-14T08:51:38+07:00,cam1,1,1,0
2025-11-14T08:52:29+07:00,cam1,3,1,0
2025-11-14T08:53:11+07:00,cam1,1,1,0
2025-11-14T08:53:13+07:00,cam1,1,1,0
2025-11-14T08:53:16+07:00,cam1,1,1,0
2025-11-14T08:54:32+07:00,cam1,3,1,0
2025-11-14T08:55:03+07:00,cam1,1,0,1
2025-11-14T08:56:18+07:00,cam1,3,1,0
2025-11-14T08:56:20+07:00,cam1,3,1,0
2025-11-14T08:57:35+07:00,cam1,1,1,0
2025-11-14T08:57:51+07:00,cam1,2,1,0
2025-11-14T08:59:00+07:00,cam1,3,1,0
2025-11-14T08:59:03+07:00,cam1,3,1,0
2025-11-14T09:00:16+07:00,cam1,2,1,0
2025-11-14T09:03:43+07:00,cam1,2,1,0
2025-11-14T09:03:44+07:00,cam1,2,1,0
2025-11-14T09:03:46+07:00,cam1,2,1,0
2025-11-14T09:03:47+07:00,cam1,2,1,0
2025-11-14T09:05:13+07:00,cam1,2,1,0
2025-11-14T09:07:00+07:00,cam1,2,0,1
2025-11-14T09:08:31+07:00,cam1,2,1,0
2025-11-14T09:08:32+07:00,cam1,2,1,0
2025-11-14T09:09:12+07:00,cam1,2,0,1
2025-11-14T09:09:15+07:00,cam1,2,0,1
2025-11-14T09:10:03+07:00,cam1,1,1,0
2025-11-14T09:10:05+07:00,cam1,1,0,1
2025-11-14T09:15:59+07:00,cam1,2,1,0
2025-11-14T09:18:21+07:00,cam1,3,1,0
2025-11-14T09:19:29+07:00,cam1,3,1,0
2025-11-14T09:20:15+07:00,cam1,2,1,0
2025-11-14T09:20:35+07:00,cam1,1,1,0
2025-11-14T09:20:36+07:00,cam1,1,1,0
2025-11-14T09:20:36+07:00,cam1,1,0,1
2025-11-14T09:20:37+07:00,cam1,1,1,0
2025-11-14T09:20:44+07:00,cam1,3,0,1
2025-11-14T09:21:05+07:00,cam1,3,0,1
2025-11-14T09:21:05+07:00,cam1,3,1,0
2025-11-14T09:21:05+07:00,cam1,3,0,1
2025-11-14T09:22:24+07:00,cam1,2,1,0
2025-11-14T09:25:10+07:00,cam1,3,1,0
2025-11-14T09:26:21+07:00,cam1,2,0,1
2025-11-14T09:26:29+07:00,cam1,3,1,0
2025-11-14T09:27:50+07:00,cam1,3,1,0
2025-11-14T09:27:53+07:00,cam1,2,0,1
2025-11-14T09:28:52+07:00,cam1,2,1,0
2025-11-14T09:33:39+07:00,cam1,1,1,0
2025-11-14T09:33:50+07:00,cam1,3,1,0
2025-11-14T09:35:33+07:00,cam1,3,1,0
2025-11-14T09:36:06+07:00,cam1,2,1,0
2025-11-14T09:36:08+07:00,cam1,2,0,1
2025-11-14T09:36:09+07:00,cam1,2,0,1
2025-11-14T09:36:14+07:00,cam1,2,0,1
2025-11-14T09:40:04+07:00,cam1,2,1,0
2025-11-14T09:40:06+07:00,cam1,2,1,0
2025-11-14T09:41:22+07:00,cam1,3,0,1
2025-11-14T09:42:23+07:00,cam1,3,1,0
2025-11-14T09:42:24+07:00,cam1,3,1,0
2025-11-14T09:45:43+07:00,cam1,3,1,0
2025-11-14T09:48:00+07:00,cam1,3,0,1
2025-11-14T09:49:58+07:00,cam1,2,0,1
2025-11-14T09:49:59+07:00,cam1,2,0,1
2025-11-14T09:50:44+07:00,cam1,3,0,1
2025-11-14T09:54:07+07:00,cam1,2,1,0
2025-11-14T09:54:54+07:00,cam1,2,0,1
2025-11-14T09:56:08+07:00,cam1,3,0,1
2025-11-14T09:57:11+07:00,cam1,3,1,0
2025-11-14T09:58:59+07:00,cam1,3,0,1
2025-11-14T09:59:01+07:00,cam1,3,0,1
2025-11-14T09:59:02+07:00,cam1,3,0,1
2025-11-14T10:05:05+07:00,cam1,3,0,1
2025-11-14T10:07:26+07:00,cam1,3,0,1
2025-11-14T10:07:26+07:00,cam1,3,1,0
2025-11-14T10:08:30+07:00,cam1,1,0,1
2025-11-14T10:11:11+07:00,cam1,2,0,1
2025-11-14T10:12:37+07:00,cam1,3,0,1
2025-11-14T10:15:08+07:00,cam1,3,0,1
2025-11-14T10:17:15+07:00,cam1,1,0,1
2025-11-14T10:23:39+07:00,cam1,3,0,1
2025-11-14T10:23:39+07:00,cam1,3,1,0
2025-11-14T10:27:18+07:00,cam1,2,1,0
2025-11-14T10:29:33+07:00,cam1,3,1,0
2025-11-14T10:29:40+07:00,cam1,1,0,1
2025-11-14T10:31:08+07:00,cam1,2,0,1
2025-11-14T10:33:06+07:00,cam1,3,1,0
2025-11-14T10:35:53+07:00,cam1,3,0,1
2025-11-14T10:36:33+07:00,cam1,2,0,1
2025-11-14T10:36:33+07:00,cam1,2,1,0
2025-11-14T10:36:47+07:00,cam1,2,0,1
2025-11-14T10:41:04+07:00,cam1,1,1,0
2025-11-14T10:41:42+07:00,cam1,2,1,0
2025-11-14T10:43:13+07:00,cam1,1,0,1
2025-11-14T10:43:59+07:00,cam1,3,1,0
2025-11-14T10:44:00+07:00,cam1,3,1,0
2025-11-14T10:47:02+07:00,cam1,3,1,0
2025-11-14T10:47:06+07:00,cam1,1,1,0
2025-11-14T10:47:29+07:00,cam1,1,0,1
2025-11-14T10:49:03+07:00,cam1,1,1,0
2025-11-14T10:49:04+07:00,cam1,1,1,0
2025-11-14T10:51:57+07:00,cam1,3,0,1
2025-11-14T10:52:39+07:00,cam1,2,0,1
2025-11-14T10:53:45+07:00,cam1,2,0,1
2025-11-14T10:53:46+07:00,cam1,2,0,1
2025-11-14T10:54:57+07:00,cam1,1,1,0
2025-11-14T10:54:58+07:00,cam1,1,1,0
2025-11-14T10:55:00+07:00,cam1,1,1,0
2025-11-14T10:55:00+07:00,cam1,1,0,1
2025-11-14T10:55:01+07:00,cam1,1,1,0
2025-11-14T10:57:28+07:00,cam1,1,0,1
2025-11-14T10:57:28+07:00,cam1,1,1,0
2025-11-14T10:57:34+07:00,cam1,3,1,0
2025-11-14T10:57:34+07:00,cam1,3,0,1
2025-11-14T10:57:35+07:00,cam1,3,1,0
2025-11-14T10:57:57+07:00,cam1,1,0,1
2025-11-14T10:59:08+07:00,cam1,2,1,0
2025-11-14T10:59:10+07:00,cam1,2,1,0
2025-11-14T10:59:11+07:00,cam1,2,1,0
2025-11-14T10:59:19+07:00,cam1,3,0,1
2025-11-14T10:59:21+07:00,cam1,1,1,0
2025-11-14T11:00:59+07:00,cam1,2,1,0
2025-11-14T11:00:59+07:00,cam1,2,0,1
2025-11-14T11:01:01+07:00,cam1,2,1,0
2025-11-14T11:01:01+07:00,cam1,2,0,1
2025-11-14T11:01:16+07:00,cam1,2,1,0
2025-11-14T11:01:17+07:00,cam1,2,0,1
2025-11-14T11:01:23+07:00,cam1,2,0,1
2025-11-14T11:01:23+07:00,cam1,2,0,1
2025-11-14T11:01:24+07:00,cam1,2,0,1
2025-11-14T11:01:25+07:00,cam1,2,1,0
2025-11-14T11:01:25+07:00,cam1,2,1,0
2025-11-14T11:01:29+07:00,cam1,2,0,1
2025-11-14T11:01:30+07:00,cam1,2,0,1
2025-11-14T11:01:31+07:00,cam1,2,1,0
2025-11-14T11:01:32+07:00,cam1,2,0,1
2025-11-14T11:01:32+07:00,cam1,2,1,0
2025-11-14T11:01:32+07:00,cam1,2,0,1
2025-11-14T11:01:32+07:00,cam1,2,1,0
2025-11-14T11:01:33+07:00,cam1,2,0,1
2025-11-14T11:01:34+07:00,cam1,2,1,0
2025-11-14T11:01:34+07:00,cam1,2,0,1
2025-11-14T11:01:36+07:00,cam1,2,1,0
2025-11-14T11:01:40+07:00,cam1,2,0,1
2025-11-14T11:01:43+07:00,cam1,2,0,1
2025-11-14T11:01:46+07:00,cam1,1,0,1
2025-11-14T11:01:46+07:00,cam1,1,1,0
2025-11-14T11:01:47+07:00,cam1,1,0,1
2025-11-14T11:01:48+07:00,cam1,1,1,0
2025-11-14T11:01:49+07:00,cam1,1,0,1
2025-11-14T11:01:59+07:00,cam1,1,0,1
2025-11-14T11:02:26+07:00,cam1,3,1,0
2025-11-14T11:02:26+07:00,cam1,3,1,0
2025-11-14T11:03:04+07:00,cam1,2,0,1
2025-11-14T11:03:16+07:00,cam1,2,0,1
2025-11-14T11:03:23+07:00,cam1,2,0,1
2025-11-14T11:03:23+07:00,cam1,2,1,0
2025-11-14T11:04:28+07:00,cam1,3,1,0
2025-11-14T11:04:30+07:00,cam1,3,1,0
2025-11-14T11:04:31+07:00,cam1,3,0,1
2025-11-14T11:04:54+07:00,cam1,3,0,1
2025-11-14T11:04:59+07:00,cam1,2,1,0
2025-11-14T11:05:08+07:00,cam1,1,1,0
2025-11-14T11:06:18+07:00,cam1,3,0,1
2025-11-14T11:06:19+07:00,cam1,3,0,1
2025-11-14T11:06:22+07:00,cam1,3,0,1
2025-11-14T11:07:46+07:00,cam1,3,0,1
2025-11-14T11:07:50+07:00,cam1,3,0,1
2025-11-14T11:07:53+07:00,cam1,3,0,1
2025-11-14T11:07:57+07:00,cam1,3,0,1
2025-11-14T11:09:03+07:00,cam1,1,0,1
2025-11-14T11:09:06+07:00,cam1,1,0,1
2025-11-14T11:09:08+07:00,cam1,1,0,1
2025-11-14T11:09:10+07:00,cam1,1,0,1
2025-11-14T11:09:30+07:00,cam1,2,0,1
2025-11-14T11:09:39+07:00,cam1,3,1,0
2025-11-14T11:09:46+07:00,cam1,1,1,0
2025-11-14T11:10:11+07:00,cam1,2,0,1
2025-11-14T11:11:09+07:00,cam1,3,0,1
2025-11-14T11:11:10+07:00,cam1,3,1,0
2025-11-14T11:14:42+07:00,cam1,2,0,1
2025-11-14T11:17:47+07:00,cam1,3,0,1
2025-11-14T11:21:22+07:00,cam1,2,0,1
2025-11-14T11:22:20+07:00,cam1,3,0,1
2025-11-14T11:22:44+07:00,cam1,2,0,1
2025-11-14T11:24:29+07:00,cam1,2,1,0
2025-11-14T11:24:57+07:00,cam1,3,0,1
2025-11-14T11:25:35+07:00,cam1,2,0,1
2025-11-14T11:25:36+07:00,cam1,2,0,1
2025-11-14T11:26:53+07:00,cam1,3,1,0
2025-11-14T11:30:09+07:00,cam1,2,1,0
2025-11-14T11:30:10+07:00,cam1,2,0,1
2025-11-14T11:30:11+07:00,cam1,2,0,1
2025-11-14T11:30:26+07:00,cam1,1,0,1
2025-11-14T11:31:55+07:00,cam1,3,0,1
2025-11-14T11:31:59+07:00,cam1,3,0,1
2025-11-14T11:34:08+07:00,cam1,1,0,1
2025-11-14T11:34:10+07:00,cam1,1,0,1
2025-11-14T11:35:34+07:00,cam1,2,0,1
2025-11-14T11:35:35+07:00,cam1,2,0,1
2025-11-14T11:36:26+07:00,cam1,3,0,1
2025-11-14T11:36:35+07:00,cam1,3,0,1
2025-11-14T11:37:33+07:00,cam1,2,0,1
2025-11-14T11:38:23+07:00,cam1,1,1,0
2025-11-14T11:39:28+07:00,cam1,2,1,0
2025-11-14T11:39:29+07:00,cam1,2,1,0
2025-11-14T11:39:30+07:00,cam1,2,0,1
2025-11-14T11:40:42+07:00,cam1,3,0,1
2025-11-14T11:40:44+07:00,cam1,3,0,1
2025-11-14T11:40:44+07:00,cam1,3,0,1
2025-11-14T11:40:45+07:00,cam1,3,0,1
2025-11-14T11:40:47+07:00,cam1,3,0,1
2025-11-14T11:40:53+07:00,cam1,3,0,1
2025-11-14T11:41:42+07:00,cam1,2,0,1
2025-11-14T11:42:21+07:00,cam1,1,1,0
2025-11-14T11:44:11+07:00,cam1,1,0,1
2025-11-14T11:44:12+07:00,cam1,1,0,1
2025-11-14T11:45:00+07:00,cam1,3,0,1
2025-11-14T11:46:32+07:00,cam1,1,0,1
2025-11-14T11:46:34+07:00,cam1,1,0,1
2025-11-14T11:47:34+07:00,cam1,1,0,1
2025-11-14T11:47:35+07:00,cam1,1,0,1
2025-11-14T11:47:39+07:00,cam1,1,0,1
2025-11-14T11:48:16+07:00,cam1,3,0,1
2025-11-14T11:48:18+07:00,cam1,3,0,1
2025-11-14T11:49:29+07:00,cam1,2,0,1
2025-11-14T11:50:10+07:00,cam1,1,0,1
2025-11-14T11:50:18+07:00,cam1,1,0,1
2025-11-14T11:50:21+07:00,cam1,1,0,1
2025-11-14T11:50:21+07:00,cam1,1,0,1
2025-11-14T11:52:52+07:00,cam1,3,0,1
2025-11-14T11:54:13+07:00,cam1,3,0,1
2025-11-14T11:54:14+07:00,cam1,3,0,1
2025-11-14T11:56:06+07:00,cam1,1,0,1
2025-11-14T11:56:39+07:00,cam1,3,1,0
2025-11-14T11:57:34+07:00,cam1,3,0,1
2025-11-14T12:04:47+07:00,cam1,1,1,0
2025-11-14T12:05:39+07:00,cam1,3,1,0
2025-11-14T12:05:42+07:00,cam1,3,1,0
2025-11-14T12:06:07+07:00,cam1,3,1,0
2025-11-14T12:06:23+07:00,cam1,1,1,0
2025-11-14T12:06:28+07:00,cam1,3,0,1
2025-11-14T12:06:36+07:00,cam1,3,0,1
2025-11-14T12:06:38+07:00,cam1,3,0,1
2025-11-14T12:06:42+07:00,cam1,3,0,1
2025-11-14T12:08:09+07:00,cam1,2,0,1
2025-11-14T12:08:10+07:00,cam1,2,0,1
2025-11-14T12:08:40+07:00,cam1,3,1,0
2025-11-14T12:09:54+07:00,cam1,2,1,0
2025-11-14T12:09:55+07:00,cam1,2,1,0
2025-11-14T12:10:09+07:00,cam1,3,1,0
2025-11-14T12:11:08+07:00,cam1,3,1,0
2025-11-14T12:12:14+07:00,cam1,1,0,1
2025-11-14T12:12:38+07:00,cam1,3,0,1
2025-11-14T12:13:30+07:00,cam1,1,0,1
2025-11-14T12:15:29+07:00,cam1,3,0,1
2025-11-14T12:15:59+07:00,cam1,1,1,0
2025-11-14T12:16:00+07:00,cam1,1,1,0
2025-11-14T12:20:13+07:00,cam1,1,1,0
2025-11-14T12:22:45+07:00,cam1,3,1,0
2025-11-14T12:23:19+07:00,cam1,1,1,0
2025-11-14T12:24:19+07:00,cam1,3,1,0
2025-11-14T12:24:21+07:00,cam1,3,1,0
2025-11-14T12:25:26+07:00,cam1,3,0,1
2025-11-14T12:26:16+07:00,cam1,2,1,0
2025-11-14T12:26:17+07:00,cam1,2,1,0
2025-11-14T12:26:17+07:00,cam1,1,1,0
2025-11-14T12:27:25+07:00,cam1,1,0,1
2025-11-14T12:27:26+07:00,cam1,1,0,1
2025-11-14T12:27:27+07:00,cam1,1,0,1
2025-11-14T12:27:29+07:00,cam1,1,0,1
2025-11-14T12:28:08+07:00,cam1,3,1,0
2025-11-14T12:28:10+07:00,cam1,3,1,0
2025-11-14T12:29:41+07:00,cam1,2,1,0
2025-11-14T12:31:19+07:00,cam1,1,1,0
2025-11-14T12:32:18+07:00,cam1,3,1,0
2025-11-14T12:33:11+07:00,cam1,2,1,0
2025-11-14T12:34:33+07:00,cam1,2,1,0
2025-11-14T12:34:35+07:00,cam1,2,1,0
2025-11-14T12:34:52+07:00,cam1,2,0,1
2025-11-14T12:35:00+07:00,cam1,1,1,0
2025-11-14T12:36:42+07:00,cam1,2,0,1
2025-11-14T12:38:07+07:00,cam1,2,1,0
2025-11-14T12:38:53+07:00,cam1,2,0,1
2025-11-14T12:39:35+07:00,cam1,1,0,1
2025-11-14T12:42:31+07:00,cam1,2,0,1
2025-11-14T12:42:36+07:00,cam1,2,0,1
2025-11-14T12:44:04+07:00,cam1,2,1,0
2025-11-14T12:44:17+07:00,cam1,3,1,0
2025-11-14T12:44:18+07:00,cam1,3,1,0
2025-11-14T12:44:40+07:00,cam1,1,1,0
2025-11-14T12:44:43+07:00,cam1,1,1,0
2025-11-14T12:44:45+07:00,cam1,1,1,0
2025-11-14T12:45:58+07:00,cam1,2,0,1
2025-11-14T12:50:32+07:00,cam1,3,0,1
2025-11-14T12:50:40+07:00,cam1,2,1,0
2025-11-14T12:51:52+07:00,cam1,3,1,0
2025-11-14T12:51:55+07:00,cam1,3,1,0
2025-11-14T12:51:55+07:00,cam1,3,1,0
2025-11-14T12:53:47+07:00,cam1,3,1,0
2025-11-14T12:55:47+07:00,cam1,3,1,0
2025-11-14T12:58:19+07:00,cam1,3,1,0
2025-11-14T12:58:19+07:00,cam1,3,1,0
2025-11-14T13:00:00+07:00,cam1,1,1,0
2025-11-14T13:01:30+07:00,cam1,1,0,1
2025-11-14T13:03:05+07:00,cam1,2,1,0
2025-11-14T13:03:06+07:00,cam1,2,1,0
2025-11-14T13:04:58+07:00,cam1,2,1,0
2025-11-14T13:04:59+07:00,cam1,2,1,0
2025-11-14T13:05:00+07:00,cam1,2,1,0
2025-11-14T13:05:01+07:00,cam1,2,1,0
2025-11-14T13:05:04+07:00,cam1,2,0,1
2025-11-14T13:05:12+07:00,cam1,2,0,1
2025-11-14T13:06:18+07:00,cam1,2,1,0
2025-11-14T13:06:52+07:00,cam1,1,0,1
2025-11-14T13:07:33+07:00,cam1,1,1,0
2025-11-14T13:08:44+07:00,cam1,3,0,1
2025-11-14T13:08:54+07:00,cam1,2,1,0
2025-11-14T13:08:55+07:00,cam1,2,1,0
2025-11-14T13:08:56+07:00,cam1,2,1,0
2025-11-14T13:09:45+07:00,cam1,3,1,0
2025-11-14T13:09:47+07:00,cam1,3,1,0
2025-11-14T13:09:57+07:00,cam1,1,1,0
2025-11-14T13:10:47+07:00,cam1,2,0,1
2025-11-14T13:10:52+07:00,cam1,2,0,1
2025-11-14T13:11:17+07:00,cam1,3,1,0
2025-11-14T13:12:23+07:00,cam1,3,1,0
2025-11-14T13:12:43+07:00,cam1,1,1,0
2025-11-14T13:13:46+07:00,cam1,3,1,0
2025-11-14T13:14:31+07:00,cam1,1,1,0
2025-11-14T13:15:53+07:00,cam1,3,1,0
2025-11-14T13:17:30+07:00,cam1,1,1,0
2025-11-14T13:19:12+07:00,cam1,2,1,0
2025-11-14T13:19:47+07:00,cam1,3,1,0
2025-11-14T13:22:35+07:00,cam1,1,1,0
2025-11-14T13:22:39+07:00,cam1,1,1,0
2025-11-14T13:27:16+07:00,cam1,3,1,0
2025-11-14T13:27:47+07:00,cam1,1,1,0
2025-11-14T13:27:50+07:00,cam1,1,1,0
2025-11-14T13:28:31+07:00,cam1,2,1,0
2025-11-14T13:28:46+07:00,cam1,3,1,0
2025-11-14T13:29:12+07:00,cam1,2,0,1
2025-11-14T13:29:15+07:00,cam1,2,0,1
2025-11-14T13:31:10+07:00,cam1,2,1,0
2025-11-14T13:31:51+07:00,cam1,2,1,0
2025-11-14T13:32:31+07:00,cam1,2,0,1
2025-11-14T13:33:15+07:00,cam1,1,1,0
2025-11-14T13:33:24+07:00,cam1,3,1,0
2025-11-14T13:35:45+07:00,cam1,3,1,0
2025-11-14T13:36:02+07:00,cam1,2,1,0
2025-11-14T13:36:36+07:00,cam1,3,1,0
2025-11-14T13:36:37+07:00,cam1,3,1,0
2025-11-14T13:36:40+07:00,cam1,3,0,1
2025-11-14T13:36:41+07:00,cam1,3,1,0
2025-11-14T13:36:41+07:00,cam1,3,1,0
2025-11-14T13:36:45+07:00,cam1,2,0,1
2025-11-14T13:37:27+07:00,cam1,2,1,0
2025-11-14T13:37:28+07:00,cam1,2,1,0
2025-11-14T13:37:29+07:00,cam1,2,1,0
2025-11-14T13:37:30+07:00,cam1,2,1,0
2025-11-14T13:37:55+07:00,cam1,1,1,0
2025-11-14T13:39:41+07:00,cam1,3,1,0
2025-11-14T13:41:00+07:00,cam1,2,0,1
2025-11-14T13:47:29+07:00,cam1,2,1,0
2025-11-14T13:48:24+07:00,cam1,3,1,0
2025-11-14T13:48:25+07:00,cam1,3,1,0
2025-11-14T13:48:32+07:00,cam1,1,0,1
2025-11-14T13:49:41+07:00,cam1,2,1,0
2025-11-14T13:49:43+07:00,cam1,2,1,0
2025-11-14T13:50:14+07:00,cam1,3,1,0
2025-11-14T13:53:49+07:00,cam1,1,0,1
2025-11-14T13:54:59+07:00,cam1,3,1,0
2025-11-14T13:55:04+07:00,cam1,2,0,1
2025-11-14T13:55:04+07:00,cam1,2,1,0
2025-11-14T13:55:22+07:00,cam1,2,0,1
2025-11-14T13:57:27+07:00,cam1,3,0,1
2025-11-14T13:57:48+07:00,cam1,2,1,0
2025-11-14T13:58:29+07:00,cam1,2,0,1
2025-11-14T13:58:29+07:00,cam1,2,0,1
2025-11-14T14:01:42+07:00,cam1,3,1,0
2025-11-14T14:02:43+07:00,cam1,1,1,0
2025-11-14T14:03:36+07:00,cam1,2,1,0
2025-11-14T14:03:38+07:00,cam1,2,0,1
2025-11-14T14:04:35+07:00,cam1,1,0,1
2025-11-14T14:05:17+07:00,cam1,3,1,0
2025-11-14T14:07:39+07:00,cam1,2,0,1
2025-11-14T14:08:29+07:00,cam1,1,1,0
2025-11-14T14:08:30+07:00,cam1,1,1,0
2025-11-14T14:08:39+07:00,cam1,2,0,1
2025-11-14T14:08:41+07:00,cam1,2,0,1
2025-11-14T14:08:41+07:00,cam1,2,0,1
2025-11-14T14:09:48+07:00,cam1,3,1,0
2025-11-14T14:10:41+07:00,cam1,1,1,0
2025-11-14T14:11:18+07:00,cam1,3,1,0
2025-11-14T14:11:21+07:00,cam1,3,1,0
2025-11-14T14:11:22+07:00,cam1,3,1,0
2025-11-14T14:14:43+07:00,cam1,3,0,1
2025-11-14T14:22:16+07:00,cam1,2,1,0
2025-11-14T14:23:35+07:00,cam1,2,0,1
2025-11-14T14:25:52+07:00,cam1,2,1,0
2025-11-14T14:28:44+07:00,cam1,2,1,0
2025-11-14T14:29:06+07:00,cam1,1,1,0
2025-11-14T14:29:09+07:00,cam1,1,1,0
2025-11-14T14:29:49+07:00,cam1,1,1,0
